Site name,Alternate site name/ abbreviation,State/ Province,Country,Biogeographic zone,GCB#,Latitude,Longitude,Elevation-min,Elevation-max,Topographic relief,Location & Elevation notes,n geographically distinct plots,Area,Plot Dimensions,Plot Area & Dimensions notes,First ForestGEO census year,First census year,Year added to network,Publication(s) describing site/plot,Affiliated web links,Number of Species,Number of Trees,Species & Number of trees notes,Forest Description ,FAO ecozone,Dominant vegetation type(s),Dominant Soil order(s),Soil Notes,Koppen Climate zone,MAT,MAP,Natural disturbance regime,Natural disturbance notes,Past anthropogenic disturbances,Current anthropogenic disturbances,Anthropogenic disturbance notes,PI1,PI2,PI3,PI4
Sinharaja,,Southern,Sri Lanka,Indo-Malay,19,6.4023,80.4023,424,575,151,,1,25,500 x 500,,1993,,1993,"Gunatilleke et al., 2004",,204,193400,,Mixed dipterocarp forest.,Tropical rainforest,BE,Ult,"the plot is on metamorphic rocks of the Precambrian Age Highland Series; siliceous charnokite forms the prominent parallel crests; khondalite, rich in hornblende, underlies the fertile lower slopes and valleys; the soils overlying them are Humult to Udult Ultisols;",Af,22.5,5016,W,natural disturbances are limited to occasional strong wind storms,,e,"the Reserve has been impacted by selective logging in the 1970's, but not in the plot; extraction of NTFPs occurs on the margins of the forest",Savi Gunatilleke_,_Nimal Gunatilleke,,
Smithsonian Conservation Biology Institute,SCBI,Virginia,USA,Nearctic,34,38.8935,-78.1454,273,338,65,,1,25.6,400 x 640,Plot includes a 4ha deer exclosure,2008,1990,2008,"Bourg et al., 2013",,64,34867,,"Mature secondary Eastern mixed deciduous forest; Liriodendron/Carya/Quercus species dominate. Typical mature secondary eastern mixed deciduous forest, with a canopy dominated by tulip poplar (Liriodendron tulipifera), hickories (Carya spp.), oaks (Quercus spp.) and white ash (Fraxinus americana), and an understory composed mainly of spicebush (Lindera benzoin), paw-paw (Asimina triloba), American hornbeam (Carpinus caroliniana) and eastern redbud (Cercis canadensis). It is classified as Upper Piedmont/Northern Blue Ridge Basic Mesic Hardwood Forest in the U.S. National Vegetation Classification system (USNVC code CEGL006186).",Temperate mountain system,BcD,Alf,Soil classification done by Turner.,Cfa,12.9,1001,"W, Ic",,"P, I ",I ,,William McShea,_Norm Bourg_,Kristina Anderson-Teixeira_,
Smithsonian Environmental Research Center,SERC,Maryland,USA,Nearctic,35,38.8891,-76.5594,6,10,4,,1,16,400 x 400,,2007,,2007,"McMahon & Parker, 2014",,79,24961,,"Mature secondary Eastern mixed deciduous forest.Upland forest bisected with a section of floodplain forests, both around 120 years since initiation. The upland forest is an example of the _tulip poplarÕå association with an overstory dominated by tulip poplar (Liriodendron tulipifera), several oaks (Quercus spp.), beech (Fagus grandifolia), and several hickories (Carya spp.); a mid-canopy of red maple (Acer rubrum) and sour gum (Nyssa sylvatica); and an understory composed of American hornbeam (Carpinus caroliniana), spicebush (Lindera benzoin), and paw-paw (Asimina triloba). The flood plain forest is dominated by ashes (Fraxinus spp.), sycamore (Platanus occidentalis), and American elm (Ulmus americana).  Installation of the plot began in September 2007.",Subtropical humid forest,BcD,Ult; In; En,Soil classification done by Turner: _ Ultisols (Hapludults) plus some Inceptisols/Entisols in the extensive floodplain area.,Cfa,13.2,1068,H; W,,,,,Geoffrey Parker_,,,
Speulderbos,,Gelderland,Netherlands,Palearctic,58,52.253,5.702,49,63,14,,1,27,520 x 520 ,,2013,,2013,"Wijdeven, 2003",,13,9350,,"Old-growth Fagus/Quercus forest, early successional Larix forest",Temperate oceanic forest,BcD,In,,Cfb,10.1,833,W;A,,,,"oak/beech coppice thru 19th century; local fire, clear cutting and plantation",Jan den Ouden,_Patrick Jansen,,
Tiantongshan,,Zhejiang,China,Palearctic,56,29.8116,121.783,304,602,298,,1,20,500 x 400,,2008,,2008,"Yang et al., 2011",,153,94603,,"Choerospondias axillaris, Lithocarpus megalophyllus, and Cyclobalanopsis sessilifolia are the three most dominant species in the upper tree layer.",Subtropical humid forest,BE,Ox,,Cfa,16.2,1375,H;D,,,,,Xihua Wang_,,,
Traunstein,,,Germany,Palearctic,NA,47.935,12.6664,590,620,30,,1,25,,,2015,,2017,,,29,,,,,,,,,,,,,,,,Hans Pretzsch,Andreas Huth,Konstantinos P. Papathanassiou,
Tyson Research Center,,Missouri,USA,Nearctic,36,38.5178,-90.5575,172,233,61,,1,20.16,480 x 420,,2013,1981,2013,,,42,30176,,Oak-Hickory Forest at the edge of the Missouri Ozarks,Temperate continental forest,BcD,Alf,Ben: soils appear to be Paleudults and Hapludalfs,Cfa,13.5,957,D; Fi; Ic; W,The forests at this site have not burned for at least 170 years,"H, W, p, i","i, h",human disturbance in the basin is limited to low density seismic exploration.,_Jonathan Myers_,,,
"University of Maryland, Baltimore County",UMBC,Maryland,USA,Nearctic,NA,39.2549,-76.7081,,,,,2,6.25,250 x 250; 250 x 250,,2012,,2014,,,68,,"7,161 stems",,,,,,,,,,,,,,Erle C. Ellis_,Matthew Baker_,,
Utah Forest Dynamics Plot,Cedar Breaks,Utah,USA,Nearctic,NA,37.661,-112.8545,3020,3169,,"Coordinates are within the plot, not necessarily the exact center. Plot is on the edge of a plateau. If extracting climate data, ensure the selected pixel lies entirely on the plateau (offset north as necessary). ",1,13.64,460 x 360,,2014,,2014,Furniss et al. 2017,http://ufdp.org/,17,23177,,high elevation mixed-conifer forest,,NE,,,,,,,,,,,James A. Lutz_,,,
Wabikon ,,Wisconsin,USA,Nearctic,37,45.5546,-88.7945,,,,,1,25.2,800 x 320,,2008,,2008,,,42,50130,,"Mesic northern hardwoods occupy most of the plot, dominated by sugar maple (Acer saccharum), basswood (Tilia americana), white ash (Fraxinus americana), and ironwood/eastern hop hornbeam (Ostrya virginiana).",Temperate continental forest,BcD,Alf,,Dfb,4.2,805,W,,"W, h",h,,Amy Wolf,Robert Howe_,Gary Fewless_,
Wanang,,Madang,Papua New Guinea,Australasia,5,-5.25,145.267,90,190,100,,1,50,1000 x 500,,2009,,2009,,,500,>26700,Numbers tentative as of 2014,mixed evergreen hill forest,Tropical rainforest,BE,Alf; In,Latosols (from web). Proabably Alfisols / Inceptisols (from Ben Turner),Af,26,3500,L; E,landslides; small windstorm-induced tree fall gaps;,H,H,some hunting pressure,George Weiblen,Vojtech Novotny,,
Wind River,WFDP,Washington,USA,Nearctic,38,45.8197,-121.9558,352.4,384.7,32.3,,1,27.2,800 x 340,Increased from 25.6 ha (800 x 320) in 2016.,2010,,2010,"Lutz et al., 2013",,26,30973,,Old-growth Douglas Fir and hemlock,Temperate mountain system,NE,An,soils are Andisols (Entic Vitrands) formed in Holocene airfall tephra.,Csb,9.2,2495,Fi; W; In,,I,I,,James Lutz,Andrew Larson_,,
Wytham Woods,,England,UK,Palearctic,59,51.7743,-1.3379,104,163,59,,1,18,300 x 600,,2008,,2008,"Butt et al., 2009; Thomas et al., 2011b",,23,16313,,Fraxinus excelsior_Acer campestre_Mercurialis perennis woodland (W8 following the National Vegetation Classification),Temperate oceanic forest,BcD,E,"lies on a variety of neutral clay soils, ranging from thin, freely-draining rendzinas over Corallian limestone at the higher altitudes to poorly-drained deep clay soils at lower altitudes; the neutral clay soils are of varying permeability: Rendzina, Brown Earth and Surface Water Gley; has three soil series in plot: Denchworth, Moreton and Sherbourne;  Most of the 18 ha plot is on Sherbourne soil http://www.landis.org.uk/services/soilsguide/mapunit.cfm?mu=34304 which is a calcaric leptosol.  Reference for the Sherbourne soil is Nathalie Buttëês 2009 report http://www.eci.ox.ac.uk/publications/downloads/butt09-wythamwoods.pdf .  , it is described as Rendzina, Brown Earth and Surface Water Gley, so probably should be classified here as ëâEntisolëê",Cfb,10,717,,,"P, W, h, I",I,"the plot is in an ancient woodland with woodland cover since reliable records and maps began (c.1600); forest cover is assumed to have been present since the end of the last ice age; most of the plot is disturbed ancient woodland which were formally managed as coppice with standards, but converted to high forest during the twentieth century; timber has been extracted at various times but they have not been clearfelled: extensive natural regeneration has occurred, along with some localized planting; some parts are secondary woodland which have naturally reverted to closed canopy woodland over the last 200 years, having previously been grassland or wood pasture;  invasive species are an important part of both plant and animal communities;",Mike Morecroft_,_Yadvinder Malhi_,Nathalie Butt,
Xishuangbanna ,XTBG,Yunnan,China,Indo-Malay,12,21.6117,101.574,709,869,160,,1,20,500 x 400,,2007,,2007,"Cao et al., 2008",,468,95834,,,Tropical mountain system,BE,Ox,laterite derived soil with deep solum and thin humus; ,Cwa,21.8,1493,W; D,natural disturbances to this forest include localized wind storms;  the dry season is characterized by heavy dew precipitation; changes in climate and degree of fog-days will likely have a big impact on this forest;,H,,hunting and NTFP extraction impact the forest; this forest type exists in a primary condition in only very few fragments in southern Yunnan,Cao Min,,,
Yasuni,,Orellana,Ecuador,Neotropic,44,-0.6859,-76.397,215,245,30,,1,50,1000 x 500,,1995,,1995,"Valencia et al., 2004",,1114,297778,,,Tropical rainforest,BE,Ult,"the plot is bound by two ridges, each dominated by red clays; soils are clayey, acidic Udult Ultisols. Soil classification done by Turner: soils are Hapludults and Paleudults.",Af,28.3,3081,_-,Most canopy disturbances are from small treefall gaps; PI dindn't indicate any,_cc,"e, h","In 1995, an archeological survey was carried out on a hilltop near the northwest corner of the study plot; there were ceramic shards just 50 cm below the forest floor, estimated to be roughly 500 to 1000 years old; artifacts may belong to the nomadic Huaorani indian group, who formerly opened small clearings or used natural gaps for plantations of manioc and temporary homesites; a 1-ha area in the southwestern corner of the plot was a heliport used for oil exploration before 1990; the exotic plant Muntingia calabura (Elaeocarpaceae) grows inside the plot; Huaorani and Quichua settlements have appeared near the station resulting in an increase in hunting pressure;",Renato Valencia_,,,
Yosemite National Park,YFDP,California,USA,Nearctic,39,37.7662,-119.819,1774.1,1911.3,137.2,,1,25.6,800 x 320,,2009,,2009,"Lutz et al., 2012",,23,34458,,"Forest composition is principally white fir (Abies concolor), sugar pine (Pinus lambertiana), incense cedar (Calocedrus decurrens), ponderosa pine (Pinus ponderosa), and California black oak (Quercus kelloggii).",Subtropical mountain system,NE,Alf,Clarkslodge-Ultic Palexeralfs complex,Csb,10.2,1065,Fi; W; D; In,burned 2013,I,I,see Lutz et al. 2012,James A. Lutz,Andrew Larson_,,
Zofin,,,Czech Republic,Palearctic,57,48.6638,14.7073,735,825,90,,1,25,500 x 500,,2012,,2013,"Kral et al., 2010; Samonil et al., 2011",,12,"67,412",According the laboratory identification from July 2014 (for BAR coding) - actual No. of species is 12 (more willow species which were unified formerly in one species) and not 9 as is actually published.,Abies-Picea-Fagus,Temperate mountain system,BcD; NE,S; In; Hi;,"the Hercynian bedrock is formed by biotite-rich granodiorit; mesotrophic Cambisols are the prevailing soils, though water-affected sites also contain Arenic Gleysols. Note: Cambisols is FAO/ UNESCO soil order classification. Not sure what it is in USDA.",Cfb,6.2,866,W; In,Large footprint (multiple hectares can be affected),"w, h",-,under strict protection since 1838,_Tomas Vrska_,Kamil Kral,,
